0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
水塘小区,普陀,107104385249,438,62932元/平米,1988年建/板楼,2室1厅1厨1卫,高楼层 (共7层),69.6㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,2021-08-29,商品房,2014-12-14,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101294098





查询房管备案记录",,,
阳光翠庭,松江,107104292999,475,36285元/平米,2005年建/板楼,3室2厅1厨2卫,低楼层 (共14层),130.91㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,2021-08-06,商品房,2016-02-22,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101180789





查询房管备案记录",,,
潍坊九村,浦东,107104379173,435,117536元/平米,1986年建/板楼,1室1厅1厨1卫,高楼层 (共6层),37.01㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无,2021-08-28,商品房,2016-03-01,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202100676698





查询房管备案记录",,,
伟业金锦苑二村,浦东,107104383293,588,74943元/平米,2003年建/板楼,2室2厅1厨1卫,低楼层 (共6层),78.46㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2021-08-28,商品房,2017-01-31,普通住宅,满两年,非共有,无抵押,已上传房本照片,"码
202101295863





查询房管备案记录",,,
航华一村,闵行,107104379073,428,52561元/平米,1993年建/塔楼,2室1厅1厨1卫,中楼层 (共14层),81.43㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯八户,有,2021-08-28,商品房,2019-01-13,普通住宅,满两年,共有,无抵押,已上传房本照片,"码
202101298553





查询房管备案记录",,,
绿地时代名邸,青浦,107104385930,205,24795元/平米,2015年建/板楼,2室2厅1厨1卫,高楼层 (共18层),82.68㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2021-08-29,商品房,2019-08-31,普通住宅,满两年,非共有,无抵押,已上传房本照片,"码
202101316722





查询房管备案记录",,,
凯德新视界(一期),浦东,107104383211,198,24778元/平米,2015年建/板楼,2室1厅1厨1卫,中楼层 (共12层),79.91㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2021-08-28,商品房,2016-08-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101292873





查询房管备案记录",,,
菊泉新城(陆翔路698弄),宝山,107104385721,350,40855元/平米,2005年建/板楼,2室1厅1厨1卫,低楼层 (共14层),85.67㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,2021-08-29,动迁安置房,2008-11-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101253136





查询房管备案记录",,,
浦罡小区,杨浦,107104365878,250,70225元/平米,1993年建/板楼,1室1厅1厨1卫,高楼层 (共6层),35.6㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯四户,无,2021-08-24,商品房,2012-03-13,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101287527





查询房管备案记录",,,
平阳绿家园,闵行,107104367897,778,79114元/平米,2000年建/板楼,3室2厅1厨1卫,中楼层 (共5层),98.34㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-08-25,商品房,2001-03-09,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202100774727





查询房管备案记录",,,
莲花公寓(闵行),闵行,107104374016,875,66444元/平米,1998年建/板楼,4室2厅1厨2卫,高楼层 (共6层),131.69㎡,复式,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2021-08-26,商品房,1999-05-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101281503





查询房管备案记录",,,
曹杨五村(南杨园),普陀,107104386755,285,69158元/平米,1984年建/板楼,1室1厅1厨1卫,高楼层 (共6层),41.21㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯五户,无,2021-08-29,商品房,2016-01-29,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101297184





查询房管备案记录",,,
乾溪三村,宝山,107104389359,440,45291元/平米,1998年建/板楼,3室1厅1厨1卫,中楼层 (共6层),97.15㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-08-30,商品房,2018-12-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,"码
202101306374





查询房管备案记录",,,
银山小区,浦东,107104384231,465,61541元/平米,1997年建/板楼,2室1厅1厨1卫,高楼层 (共6层),75.56㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,2021-08-29,商品房,2009-06-09,普通住宅,满五年,共有,有抵押 141万元,已上传房本照片,"码
202101293318





查询房管备案记录",,,
田图苑,闵行,107104388254,480,52673元/平米,2000年建/板楼,2室2厅1厨1卫,中楼层 (共5层),91.13㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-08-30,商品房,2010-08-13,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101302580





查询房管备案记录",,,
春港丽园(公寓),浦东,107104327050,650,52390元/平米,2003年建/板楼,3室2厅1厨2卫,中楼层 (共6层),124.07㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-08-14,商品房,2005-03-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101222978





查询房管备案记录",,,
明园森林都市,静安,107104325628,1130,93273元/平米,未知年建/塔楼,3室2厅1厨2卫,中楼层 (共34层),121.15㎡,平层,暂无数据,塔楼,东,钢混结构,精装,两梯六户,有,2021-08-14,商品房,2013-04-14,普通住宅,满五年,共有,有抵押 160万元 交行 业主自还,已上传房本照片,"码
202101222622





查询房管备案记录",,,
