,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
1540,beijing,南苑北里三区,116.40170779159605,39.816942763957194,丰台,101112727822,2060000.0,50714,Middle,40.62,Flat,Plate,Mixed,Simplicity,No,1996,1,1,1,1
1541,beijing,金地格林小镇,116.50235196466186,39.79911606499281,亦庄开发区,101112788934,8200000.0,74458,Middle,110.13,Flat,Plate,Mixed,Hardcover,No,2003,2,1,1,2
1542,beijing,黄亭子小区,116.3626260222484,39.980530094480855,海淀,101112774058,5800000.0,101046,Low,57.4,Flat,Plate,Mixed,Simplicity,No,1985,2,1,1,1
1543,beijing,车道沟南里,116.30361381804252,39.94740734685375,海淀,101112718357,9700000.0,106360,Middle,91.2,Flat,Plate,Mixed,Hardcover,Yes,2000,3,1,1,1
1544,beijing,甘家口小区,116.33607175205125,39.93109330917282,海淀,101112718656,6580000.0,107167,Middle,61.4,Flat,Plate,Mixed,Hardcover,No,1994,2,1,1,1
1545,beijing,万泉庄小区,116.3118351999004,39.97323259528718,海淀,101112719284,6380000.0,133753,High,47.7,Flat,Plate,Mixed,Hardcover,No,1991,1,1,1,1
1546,beijing,太平桥小区,116.32607199477528,39.89345687459736,丰台,101112757490,5880000.0,70251,Low,83.7,Flat,Tower,Steel/Concrete,Simplicity,Yes,1990,3,1,1,1
1547,beijing,华瀚国际,116.49941378699982,39.88481398834109,朝阳,101112737305,6500000.0,88496,Middle,73.45,Flat,Plate,Steel/Concrete,Hardcover,Yes,2011,1,1,1,1
1548,beijing,国兴城,116.56481195524559,40.111969036002726,顺义,101112765183,3950000.0,47221,Middle,83.65,Flat,Plate,Steel/Concrete,Hardcover,Yes,2016,2,1,1,1
1549,beijing,天泰定福苑,116.56390763108868,39.92551860799263,朝阳,101112707257,3100000.0,54007,Middle,57.4,Flat,Plate,Mixed,Hardcover,No,2005,1,1,1,1
1550,beijing,丝竹园小区,116.38614464863569,39.99571507973283,朝阳,101112710302,4650000.0,81953,Middle,56.74,Flat,Plate,Mixed,Simplicity,No,1989,2,1,1,1
1551,beijing,融泽嘉园,116.31400658397911,40.074264257760994,昌平,101112725454,5980000.0,61152,Low,97.79,Flat,Plate,Steel/Concrete,Hardcover,Yes,2014,2,1,1,1
1552,beijing,安贞苑50号院,116.41544997945714,39.97708007342366,东城,101112725121,8290000.0,126701,High,65.43,Flat,Plate,Mixed,Hardcover,No,1996,2,1,1,1
1553,beijing,青年汇佳园,116.5194385439366,39.92869031586396,朝阳,101112780397,5140000.0,88075,Middle,58.36,Flat,Tower,Steel/Concrete,Hardcover,Yes,2006,1,1,1,1
1554,beijing,恩济庄46号院,116.29038707788305,39.93837473452162,海淀,101112777125,5980000.0,78654,Low,76.03,Flat,Tower,Steel/Concrete,Simplicity,Yes,1995,2,1,1,1
1555,beijing,阜成门外大街甲41号,116.34404277616349,39.92943906021322,西城,101112718964,8100000.0,105401,Middle,76.85,Flat,Plate,Mixed,Hardcover,Yes,2003,3,1,1,1
1556,beijing,芍药居北里,116.44254296346864,39.99194888164441,朝阳,101112775726,6600000.0,87825,Low,75.15,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2008,1,1,1,1
1557,beijing,三环新城6号院,116.3170258786287,39.85620400446188,丰台,101112748228,5880000.0,58842,Top ,99.93,Flat,Plate,Steel/Concrete,Hardcover,Yes,2005,2,2,1,1
1558,beijing,炫特嘉园二期,116.26669400056574,40.092487115273435,朝阳,101112718526,3950000.0,68660,Middle,57.53,Flat,Tower,Steel/Concrete,Hardcover,Yes,2004,1,1,1,1
1559,beijing,金隅嘉和园,116.27170088598669,40.22464948348405,昌平,101112739635,3180000.0,40577,Low,78.37,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2010,2,1,1,1
1560,beijing,安华里社区,116.41119003506773,39.973667752503346,朝阳,101112760451,6380000.0,91865,Middle,69.45,Flat,Plate,Mixed,Hardcover,No,1985,3,1,1,1
1561,beijing,清枫华景园,116.3558993309286,40.017437437241206,海淀,101112750420,5200000.0,97470,Middle,53.35,Flat,Plate,Steel/Concrete,Simplicity,Yes,2005,1,1,1,1
1562,beijing,东直门内北小街8号院,116.43263088081044,39.953967870382414,东城,101112733957,6400000.0,108402,Low,59.04,Flat,Plate & Tower,Steel/Concrete,Simplicity,Yes,2003,1,1,1,1
1563,beijing,北环里小区,116.23466662438794,40.23323801736612,昌平,101112787954,2100000.0,37005,Middle,56.75,Flat,Plate,Mixed,Hardcover,No,1984,2,1,1,1
1564,beijing,裕中东里,116.39712769112289,39.977790548845746,西城,101112746076,9800000.0,137835,Low,71.1,Flat,Plate,Mixed,Hardcover,No,1986,3,1,1,1
1565,beijing,北礼士路,116.36004132780455,39.937612880482625,西城,101112708714,6050000.0,147922,Top ,40.9,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,NaN,1,1,1,1
1566,beijing,今典花园,116.36635964943952,39.959313279476234,海淀,101112753504,6700000.0,94207,First Floor ,71.12,Flat,Tower,Steel/Concrete,Hardcover,Yes,1999,2,1,1,1
1567,beijing,龙锦苑东三区,116.37615504221198,40.08876507891175,昌平,101112752395,4980000.0,50508,Low,98.6,Flat,Plate,Mixed,Hardcover,No,2009,2,1,1,1
1568,beijing,首地浣溪谷,116.40897355605242,39.71206641702832,大兴,101110934782,2820000.0,29779,First Floor ,94.7,Flat,Plate,Steel/Concrete,Simplicity,Yes,2014,3,1,1,1
1569,beijing,甘露西园,116.51427777878177,39.92184693843129,朝阳,101111668833,5450000.0,53913,Middle,101.09,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2000,3,1,1,1
1570,beijing,众美城,116.32925532001099,39.638079499824585,大兴,101111057331,2890000.0,29320,High,98.57,Flat,Plate,Steel/Concrete,Hardcover,Yes,2014,3,2,1,1
1571,beijing,慈云寺,116.4961616398841,39.917140465548464,朝阳,101112170561,4420000.0,61638,Middle,71.71,Flat,Plate,Mixed,Simplicity,No,1986,3,1,1,1
1572,beijing,隆盛园,116.32811016014688,39.62817510076225,大兴,101112476659,2720000.0,20237,Middle,134.41,Flat,Plate,Mixed,Simplicity,No,2003,3,2,1,2
1573,beijing,长龙苑小区,116.22031834979927,39.81363920129412,房山,101111673815,2180000.0,25654,Top ,84.98,Flat,Plate,Mixed,Simplicity,No,2002,2,1,1,1
1574,beijing,顺四条37号院,116.43369267792323,39.86059916052996,丰台,101111175111,3410000.0,51746,Low,65.9,Flat,Tower,Steel/Concrete,Simplicity,Yes,1998,2,1,1,1
1575,beijing,朝阳雅筑,116.52982448275131,39.929435878793406,朝阳,101110614933,6250000.0,67003,High,93.28,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,2009,2,1,1,1
1576,beijing,卧龙小区,116.409658064851,40.0063977905024,朝阳,101111105502,11100000.0,74357,Middle,149.28,Flat,Plate & Tower,Steel/Concrete,Hardcover,Yes,1998,3,1,1,2
1577,beijing,国际友谊花园,116.45384167051203,39.96280713257339,朝阳,101112245809,8400000.0,80237,Low,104.69,Flat,Tower,Steel/Concrete,Simplicity,Yes,1998,2,1,1,2
1578,beijing,海子角西里,116.35151604919264,39.72238942895844,大兴,101112435207,2000000.0,30313,Middle,65.98,Flat,Plate & Tower,Mixed,Simplicity,No,1994,2,1,1,1
1579,beijing,翠屏北里东区,116.65524464042673,39.895861252555214,通州,101110952253,5450000.0,43220,Middle,126.1,Flat,Plate,Mixed,Simplicity,No,2004,3,1,1,1
1580,beijing,天通西苑二区,116.41863515520221,40.0772758428414,昌平,101112049533,5250000.0,29788,Middle,176.25,Flat,Tower,Mixed,Simplicity,Yes,2003,3,1,1,2
