,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
130,shanghai,金塔新村,121.41563395148627,31.044502246752373,闵行,107104382230,2280000.0,38849,High,58.69,Flat,Plate,Brick/Concrete,Hardcover,No,1993,2,1,1,1
131,shanghai,江南星城(一期),121.39488650776673,31.144864786227107,闵行,107104374052,10800000.0,90219,Middle,119.71,Flat,Plate,Steel/Concrete,Hardcover,No,2004,3,2,1,1
132,shanghai,金竹园,121.39258468972795,31.099001717354373,闵行,107104354087,5300000.0,54567,Middle,97.13,Split-Level,Plate,Steel/Concrete,Simplicity,No,2001,2,2,1,2
133,shanghai,甬申金地城,121.77339445134837,31.063689693412343,浦东,107104374288,4500000.0,35020,High,128.5,Flat,Plate,Steel/Concrete,Hardcover,No,2006,3,2,1,2
134,shanghai,华悦家园,121.41601348556424,31.171428064480203,徐汇,107104355668,9380000.0,102851,High,91.2,Flat,Plate,Steel/Concrete,Hardcover,Yes,2016,2,2,1,1
135,shanghai,江桥三村,121.34349597666025,31.26038970420232,嘉定,107104390881,3150000.0,46813,High,67.29,Flat,Plate,Brick/Concrete,Simplicity,No,1995,2,1,1,1
136,shanghai,平南一二村,121.40140775661641,31.15930646016895,闵行,107104376579,4850000.0,78581,Middle,61.72,Flat,Plate,Brick/Concrete,Simplicity,No,1994,2,1,1,1
137,shanghai,高兴花园,121.41449813399946,31.119619319088855,闵行,107104384786,4390000.0,63139,High,69.53,Flat,Plate,Brick/Concrete,Hardcover,No,1996,2,1,1,1
138,shanghai,万科假日风景(公寓),121.41024088452657,31.1106504910369,闵行,107104377482,12390000.0,91894,Middle,134.83,Flat,Plate,Steel/Concrete,Hardcover,Yes,2006,3,2,1,2
139,shanghai,新城上坤樾山璟里,121.2467239494952,31.102232200004053,松江,107104367561,5750000.0,50000,Middle,115,Flat,Other,Unknown,Hardcover,Yes,2017,4,2,1,2
140,shanghai,天安豪园,121.37823120496734,31.165086694415674,闵行,107104381704,5450000.0,92389,Middle,58.99,Flat,Plate,Steel/Concrete,Simplicity,Yes,2014,1,1,1,1
141,shanghai,大江苑,121.24898534378603,31.032570662666718,松江,107104330469,4700000.0,31830,Middle,147.66,Flat,Plate,Steel/Concrete,Simplicity,Yes,2006,3,2,1,2
142,shanghai,光新路129弄,121.4354468879838,31.25649703388615,普陀,107104303625,3450000.0,68088,High,50.67,Flat,Bungalow,Brick/Concrete,Hardcover,No,1985,2,1,0,1
143,shanghai,车站新村(普陀),121.41009374208403,31.2661193310269,普陀,107104288087,2900000.0,63278,High,45.83,Flat,Plate,Brick/Concrete,Hardcover,No,1993,1,1,1,1
144,shanghai,贝港南区（第二居民区）,121.45367332712016,30.919656259249358,奉贤,107104304928,2030000.0,22541,High,90.06,Flat,Plate,Brick/Concrete,Hardcover,No,1994,3,1,1,1
145,shanghai,上海康城,121.3610824629513,31.109872286600872,闵行,107104315735,6600000.0,48211,High,136.9,Flat,Plate,Steel/Concrete,Hardcover,Yes,2008,3,2,1,2
146,shanghai,荡湾新村,121.77246380684002,31.049168433026068,浦东,107104322976,1455000.0,28592,Middle,50.89,Flat,Plate,Brick/Concrete,Simplicity,No,1985,2,1,1,1
147,shanghai,凌桥二村,121.54749469017658,31.36910640219769,浦东,107104298635,1920000.0,35523,Low,54.05,Flat,Plate,Brick/Concrete,Simplicity,No,1995,2,1,1,1
