,City,HouseName,Lng,Lat,tradeTime,DOM,followers,totalPrice,price,square,bedRoom,livingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,subway,district
68,Shanghai,新城昱翠湾,121.41883542249329,31.435399825937438,2021,1,0,2750000.0,36019.0,76.35,2.0,1,1,1,Middle,Plate       ,2014 ,Hardcover     ,Steel/Concrete  ,Unknown           ,Unknown,Unknown
69,Shanghai,好家园,121.45348432364086,31.332085641068385,2021,134,199,6580000.0,72958.0,90.19,2.0,2,1,1,High,Plate       ,2009 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
70,Shanghai,昆山小区,121.49525678748253,31.255069065984276,2021,67,97,5800000.0,93173.0,62.25,2.0,2,1,1,High,Plate       ,1983 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
71,Shanghai,华润外滩九里,121.50992557747718,31.224944303175814,2021,319,163,32300000.0,132242.0,244.25,3.0,2,1,4,Low,Plate       ,2011 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
72,Shanghai,彭新小区,121.4534120100473,31.315767880431654,2021,12,5,3190000.0,64602.0,49.38,2.0,0,1,1,Middle,Plate       ,1984 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
73,Shanghai,毕加索小镇(二期)(公寓),121.65384454051957,31.217518720730133,2021,94,41,7100000.0,79295.0,89.54,2.0,2,1,1,Low,Plate       ,2011 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
74,Shanghai,隽苑,121.04666978530375,31.118841961785165,2021,150,99,2860000.0,32500.0,88.0,3.0,2,1,1,Middle,Plate       ,2017 ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
75,Shanghai,民乐小区,121.22919136153476,31.024333850539527,2021,3,5,3300000.0,38920.0,84.79,2.0,1,1,1,Low,Plate       ,1997 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
76,Shanghai,南泉小区,121.52868453211984,31.218927497401634,2021,94,131,3850000.0,70760.0,54.41,2.0,1,1,1,High,Plate       ,1989 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
77,Shanghai,文宝苑,121.37462235241154,31.353091245963633,2021,8,7,3250000.0,57350.0,56.67,1.0,1,1,1,Middle,Plate       ,2008 ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
78,Shanghai,万科城花新园,121.34155698421698,31.159538223336856,2021,62,50,9180000.0,81427.0,112.74,3.0,2,1,1,Low,Plate       ,2011 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
79,Shanghai,广虹公寓,121.27418038791603,31.177646890404084,2021,14,11,1940000.0,44422.0,43.65,1.0,1,1,1,Low,Plate       ,1995 ,Rough     ,Brick/Concrete  ,No           ,Unknown,Unknown
80,Shanghai,雍华府(公寓),121.41343516908951,31.080118992873583,2021,2,0,160000.0,4185.0,37.04,, , , ,地下室,Other       ,NaN ,Other     ,Steel/Concrete  ,Unknown           ,Unknown,Unknown
81,Shanghai,绿地领海(商业类),121.35648888789547,31.321527116797682,2021,40,1,1280000.0,21270.0,60.18,2.0,1,0,1,Middle,Tower       ,NaN ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
82,Shanghai,水语人家南苑,121.53868878092337,31.05111580597933,2021,11,2,3230000.0,43857.0,73.65,2.0,1,1,1,Middle,Plate       ,2010 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
83,Shanghai,凯德新视界(一期),121.81619403771016,30.967591867678497,2021,12,3,2060000.0,25890.0,79.57,2.0,1,1,1,High,Plate       ,2015 ,Hardcover     ,Steel/Concrete  ,Unknown           ,Unknown,Unknown
84,Shanghai,黑山小区,121.52990425134129,31.313274538098412,2021,82,22,2320000.0,57087.0,40.64,1.0,1,1,1,High,Plate       ,1986 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
85,Shanghai,华强公寓,121.45215357385837,31.209339645760267,2021,47,36,7500000.0,136315.0,55.02,2.0,1,1,1,Low,Tower       ,1992 ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
86,Shanghai,紫阳花苑,121.46058147615298,31.120005367577285,2021,36,210,3990000.0,70483.0,56.61,2.0,1,1,1,Low,Plate       ,1996 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
87,Shanghai,银都新村(1至7区),121.40086338347736,31.10000442342667,2021,72,21,4120000.0,65335.0,63.06,2.0,1,1,1,Low,Plate       ,1995 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
88,Shanghai,保利金爵公寓,121.65962298054305,31.209474846079928,2021,4,11,6510000.0,73229.0,88.9,2.0,2,1,1,Middle,Plate       ,2009 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
89,Shanghai,丝庐雅苑二期,121.66335885349794,31.040513204485716,2021,18,16,3490000.0,38938.0,89.63,2.0,2,1,1,High,Plate       ,2015 ,Rough     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
90,Shanghai,嘉实上城名都(公寓),121.22697012150024,31.29329863096863,2021,15,10,2990000.0,31481.0,94.98,3.0,2,1,1,High,Plate       ,2010 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
